Country Name,Health Expenditure,Country Code,Life Expectancy_x,Population_x,Continent
Afghanistan,174.7306366,AFG,64.486,38041754,Asia
Angola,185.8540344,AGO,60.782,31825295,Africa
United Arab Emirates,2468.549316,ARE,77.814,9770529,Asia
Argentina,1916.50415,ARG,76.52,44938712,South America
Armenia,1001.069031,ARM,74.945,2957731,Europe
Antigua and Barbuda,1070.769165,ATG,76.885,97118,North America
Australia,4816.153809,AUS,82.74878049,25364307,Oceania
Austria,5617.396484,AUT,81.69268293,8877067,Europe
Azerbaijan,1163.861938,AZE,72.864,10023318,Europe
Burundi,59.18866348,BDI,61.247,11530580,Africa
Belgium,5119.074707,BEL,81.59512195,11484055,Europe
Benin,84.65098572,BEN,61.47,11801151,Africa
Burkina Faso,129.06427,BFA,61.174,20321378,Africa
Bangladesh,94.30201721,BGD,72.32,163046161,Asia
Bulgaria,1689.687134,BGR,74.96341463,6975761,Europe
Bahrain,2265.28125,BHR,77.163,1641172,Asia
Bosnia and Herzegovina,1172.36731,BIH,77.262,3301000,Europe
Belarus,1129.113281,BLR,74.17560976,9466856,Europe
Belize,481.0281982,BLZ,74.496,390353,North America
Bolivia,491.677063,BOL,71.239,11513100,South America
Brazil,1472.230957,BRA,75.672,211049527,South America
Barbados,1343.231689,BRB,79.081,287025,North America
Brunei Darussalam,1874.951294,BRN,75.722,433285,Asia
Bhutan,290.4237061,BTN,71.46,763092,Asia
Botswana,1044.297241,BWA,69.275,2303697,Africa
Canada,4928.62793,CAN,81.94878049,37589262,North America
Switzerland,8216.958008,CHE,83.75365854,8574832,Europe
Chile,2228.556885,CHL,80.042,18952038,South America
China,841.1149292,CHN,76.704,1397715000,Asia
Cote d'Ivoire,175.6611176,CIV,57.422,25716544,Africa
Cameroon,173.8623352,CMR,58.921,25876380,Africa
Dem. Rep. Congo,37.33223343,COD,60.368,86790567,Africa
Congo,164.8262787,COG,64.29,5380508,Africa
Colombia,1039.15979,COL,77.109,50339443,South America
Comoros,123.1794052,COM,64.118,850886,Africa
Cabo Verde,357.0717163,CPV,72.782,549935,Africa
Costa Rica,1262.164307,CRI,80.095,5047561,Africa
Cuba,2485.810791,CUB,78.726,11333483,South America
Cyprus,2430.176025,CYP,80.828,1198575,Europe
Czech Republic,2753.383789,CZE,79.02926829,10669709,Europe
Germany,5922.638184,DEU,80.89268293,83132799,Europe
Djibouti,117.1890793,DJI,66.582,973560,Africa
Denmark,5509.995605,DNK,80.95365854,5818553,Europe
Dominican Republic,985.729248,DOM,73.892,10738958,North America
Algeria,974.8076782,DZA,76.693,43053054,Africa
Ecuador,958.857666,ECU,76.8,17373662,South America
Egypt,613.8087769,EGY,71.825,100388073,Africa
Eritrea,59.27363968,ERI,65.941,"3,561,902",Africa
Spain,3468.692139,ESP,83.43170732,47076781,Europe
Estonia,2153.3396,EST,78.24390244,1326590,Europe
Ethiopia,66.66216278,ETH,66.24,112078730,Africa
Finland,4255.223633,FIN,81.73414634,5520314,Europe
Fiji,322.7597351,FJI,67.341,889953,Oceania
France,5011.200684,FRA,82.72439024,67059887,Europe
Gabon,499.6129761,GAB,66.187,2172579,Africa
United Kingdom,4338.372559,GBR,81.25609756,66834405,Europe
Georgia,773.2670288,GEO,73.6,3720382,Europe
Ghana,146.8668976,GHA,63.78,30417856,Africa
Guinea,89.17005157,GIN,61.185,12771246,Africa
Gambia,55.76597214,GMB,61.735,2347706,Africa
Guinea-Bissau,123.2869263,GNB,58.003,1920922,Africa
Eq. Guinea,758.9349365,GNQ,58.402,1355986,Africa
Greece,2295.328369,GRC,81.78780488,10716322,Europe
Grenada,721.0805054,GRD,72.384,112003,Europe
Guatemala,474.8486328,GTM,74.063,16604026,South America
Guyana,405.0777588,GUY,69.774,782766,South America
Honduras,394.759613,HND,75.088,9746117,Africa
Croatia,1772.481689,HRV,78.07073171,4067500,Europe
Haiti,146.1492615,HTI,63.66,11263077,North America
Hungary,1979.40332,HUN,76.06585366,9769949,Europe
Indonesia,367.9414063,IDN,71.509,270625568,Asia
India,253.3224182,IND,69.416,1366417754,Asia
Ireland,5544.678223,IRL,82.25609756,4941444,Europe
Iran,1748.395752,IRN,76.479,82913906,Asia
Iceland,4721.42627,ISL,82.86097561,361313,Europe
Israel,3014.647217,ISR,82.80243902,9053300,Asia
Italy,3619.697998,ITA,83.34634146,60297396,Europe
Jamaica,542.8858032,JAM,74.368,2948279,North America
Jordan,756.6592407,JOR,74.405,10101694,Asia
Japan,4563.457031,JPN,84.21097561,126264931,Asia
Kazakhstan,820.3520508,KAZ,73.15,18513930,Asia
Kenya,158.1556549,KEN,66.342,52573973,Africa
Kyrgyz Republic,241.248642,KGZ,71.4,6456900,Asia
Cambodia,238.182663,KHM,69.57,16486542,Asia
Kiribati,234.9273987,KIR,68.116,117606,Oceania
South Korea,2980.157959,KOR,82.62682927,51709098,Asia
Kuwait,3796.714844,KWT,75.398,4207083,Asia
Laos,177.9337311,LAO,67.61,7169455,Asia
Lebanon,1185.327148,LBN,78.875,6855713,Asia
Liberia,104.6710434,LBR,63.73,4937374,Africa
St. Lucia,662.3132324,LCA,76.057,182790,North America
Sri Lanka,503.5632629,LKA,76.812,21803000,Asia
Lesotho,265.5403748,LSO,53.705,2125268,Europe
Lithuania,2132.609131,LTU,75.6804878,2786844,Europe
Luxembourg,5956.483887,LUX,82.29512195,619896,Europe
Latvia,1682.344238,LVA,74.78292683,1912789,Europe
Morocco,438.0912781,MAR,76.453,36471769,Europe
Moldova,476.7314148,MDA,71.808,2657637,Europe
Madagascar,85.48757935,MDG,66.681,26969307,Africa
Maldives,1506.938477,MDV,78.627,530953,Asia
Mexico,1035.585083,MEX,74.992,127575529,South America
North Macedonia,926.9176025,MKD,75.688,2083459,Europe
Mali,84.16295624,MLI,58.893,19658031,Africa
Malta,3943.095947,MLT,82.44878049,502653,Europe
Myanmar,287.6407471,MMR,66.867,54045420,Asia
Mongolia,518.1306152,MNG,69.689,3225167,Asia
Mozambique,61.77705765,MOZ,60.163,30366036,Africa
Mauritania,170.149353,MRT,64.704,4525696,Africa
Mauritius,1278.011475,MUS,74.41634146,1265711,Africa
Malawi,114.8190002,MWI,63.798,18628747,Africa
Malaysia,1138.964111,MYS,75.997,31949777,Asia
Namibia,895.3595581,NAM,63.373,2494530,Africa
Niger,78.85164642,NER,62.024,23310715,Africa
Nigeria,221.0950012,NGA,54.332,200963599,Africa
Nicaragua,506.1549683,NIC,74.275,6545502,South America
Netherlands,5513.100098,NLD,81.81219512,17332850,Europe
Norway,6518.873047,NOR,82.75853659,5347896,Europe
Nepal,150.0734253,NPL,70.478,28608710,Asia
New Zealand,3767.513428,NZL,81.85853659,4917000,Oceania
Oman,1590.843262,OMN,77.633,4974986,Asia
Pakistan,160.5584564,PAK,67.114,216565318,Asia
Panama,1794.809692,PAN,78.329,4246439,South America
Peru,681.2345581,PER,76.516,32510453,South America
Philippines,371.7423401,PHL,71.095,108116615,Asia
Papua New Guinea,103.8995895,PNG,64.263,8776109,Oceania
Poland,1958.167603,POL,77.60243902,37970874,Europe
Portugal,2917.355713,PRT,81.32439024,10269417,Europe
Paraguay,866.6269531,PRY,74.131,7044636,South America
Qatar,3354.37793,QAT,80.1,2832067,Asia
Romania,1367.79187,ROU,75.35853659,19356544,Europe
Rwanda,134.3714905,RWA,68.7,12626950,Africa
Saudi Arabia,2826.334473,SAU,74.998,34268528,Asia
Sudan,313.6807251,SDN,65.095,42813238,Africa
Senegal,143.0919342,SEN,67.665,16296364,Africa
Singapore,4269.958008,SGP,83.14634146,5703569,Asia
Solomon Islands,115.2381592,SLB,72.835,669823,Oceania
Sierra Leone,205.3612976,SLE,54.309,7813215,Africa
El Salvador,582.7357788,SLV,73.096,6453553,South America
Serbia,1382.162598,SRB,75.8902439,6944975,Europe
S. Sudan,175.7673035,SSD,57.604,11062113,Africa
Sao Tome and Principe,209.2372894,STP,70.17,215056,Africa
Suriname,946.3764038,SUR,71.57,581372,South America
Slovak Republic,2184.202881,SVK,77.26585366,5454073,Europe
Slovenia,2960.593262,SVN,81.37804878,2087946,Europe
Sweden,5699.606934,SWE,82.55853659,10285453,Europe
Eswatini,600.1167603,SWZ,59.401,1148130,Africa
Seychelles,1485.473755,SYC,72.84146341,97625,Africa
Chad,87.29854584,TCD,53.977,15946876,Africa
Togo,103.7303238,TGO,60.76,8082366,Africa
Thailand,670.8770752,THA,76.931,69625582,Asia
Tajikistan,231.423584,TJK,70.879,9321018,Asia
Turkmenistan,1249.62561,TKM,68.073,5942089,Asia
Timor-Leste,263.8439026,TLS,69.26,1293119,Asia
Tonga,335.3079224,TON,70.801,104494,Oceania
Trinidad and Tobago,2205.806641,TTO,73.38,1394973,South America
Tunisia,863.2907715,TUN,76.505,11694719,Asia
Turkey,1180.641846,TUR,77.437,83429615,Asia
Tanzania,104.3139801,TZA,65.015,58005463,Africa
Uganda,121.1517868,UGA,62.973,44269594,Africa
Ukraine,584.5913696,UKR,71.58268293,44385155,Europe
Uruguay,2101.911377,URY,77.77,3461734,South America
Uzbekistan,447.8721924,UZB,71.573,33580650,Asia
St. Vincent and the Grenadines,528.0722656,VCT,72.415,110589,North America
Vietnam,375.6432495,VNM,75.317,96462106,Asia
Vanuatu,110.4313965,VUT,70.323,299882,Oceania
Samoa,363.9580688,WSM,73.187,197097,Oceania
South Africa,1097.819214,ZAF,63.857,58558270,Africa
Zambia,180.2706604,ZMB,63.51,17861030,Africa
Zimbabwe,201.0454559,ZWE,61.195,14645468,Africa
